TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher,Process Notes,StandardizedAddress,DPVStatus,AddressStatus,IsDuplicate
356095,1,,,8675560,,8621,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,33.95912,-118.32776,,,,"8621 S 10th Ave, Inglewood CA 90305-2346",Y,Clean,False
356095,1,,,2942205,,8624,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,33.95912,-118.32755,,,,"8624 S 10th Ave, Inglewood CA 90305-2323",Y,Clean,False
356095,1,,,9937735,,8625,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,33.95912,-118.32776,,,,"8625 S 10th Ave, Inglewood CA 90305-2346",Y,Clean,False
356095,1,,,1197450,,8700,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,33.95838,-118.32754,,,,"8700 S 10th Ave, Inglewood CA 90305-2325",Y,Clean,False
356095,1,,,5533802,,8701,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,33.95838,-118.32776,,,,"8701 S 10th Ave, Inglewood CA 90305-2324",Y,Clean,False
356095,1,,,5868644,,8704,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,33.95838,-118.32754,,,,"8704 S 10th Ave, Inglewood CA 90305-2325",Y,Clean,False
356095,1,,,8403565,,8705,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,33.95838,-118.32776,,,,"8705 S 10th Ave, Inglewood CA 90305-2324",Y,Clean,False
356095,1,,,5329596,,8708,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,33.95869,-118.32754,,,,"8708 S 10th Ave, Inglewood CA 90305-3333",D,Clean,False
356095,1,,,9249351,,8709,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,33.95838,-118.32776,,,,"8709 S 10th Ave, Inglewood CA 90305-2324",Y,Clean,False
356095,1,,,6544117,,8712,10Th Ave,Inglewood,90305,CA,,,House,Available,0,,,,,,,33.95838,-118.32754,,,,"8712 S 10th Ave, Inglewood CA 90305-2325",Y,Clean,False
